text,label
"Your account has been compromised. Click here to reset your password.",phishing
"Important: Update your billing information to avoid service interruption.",phishing
"You’ve won a free gift card! Click the link to claim your reward.",phishing
"Verify your identity to avoid account suspension.",phishing
"Your PayPal account is on hold. Log in to resolve the issue.",phishing
"Meeting has been rescheduled to 3pm tomorrow. Please confirm.",legit
"Thanks for your feedback. We’ll get back to you shortly.",legit
"Attached are the minutes from today’s meeting.",legit
"Let’s meet on Monday to review the project deliverables.",legit
"Reminder: You have an appointment with Dr. Smith tomorrow.",legit
Notice of compensation (salary) increase,phishing
SLCC Parking Satisfaction Survey (Win a $50 gas card),phishing
Salt Lake Community College - eBill INV0001173364,phishing
Do not loose your E-mail,phishing
slcc Outlook,phishing
$ 100 to 40000 (A Pproved LOan) (ValidAtiON nEeDeD)(999),phishing
"Tue, 18 Mar 2025 $ 3 0 00 ,LOAN CKECK is Re-ady - Please Respond!",phishing
Complete Your -Application- ,phishing
"Budget-Friendly Roofing Excellence: Metal Roofs Shine 3 22 18637 (Fri, 11 Apr 2025 12:47:53 -0400 (EDT))",phishing
R̳e̳s̳o̳l̳v̳e̳-̳Y̳o̳u̳r̳ ̳D̳e̳b̳t̳-̳w̳i̳t̳h̳ ̳O̳n̳e̳_̳M̳o̳n̳t̳h̳l̳y̳ ̳P̳r̳o̳g̳r̳a̳m̳*̳P̳a̳y̳m̳e̳n̳t̳/̳/̳senv ✔️ gp,phishing
WELCOMETO NDR-MAIL,phishing
"2025 LOANS AVAILABLE FOR ANY CREDIT-SITUATION Sun, 06 Apr 2025 12:22:01 -0400 (EDT)",phishing
THANK YOU FOR YOUR GOOD ASSISTANT,phishing
"SAVE ON Windows Virtual, Consultation, From Renewal byANDERSEN ttC.C.",phishing
Subscription Renewal Notice,phishing
Security Alert: New Device Login,legit
Hello: Payment for Transaction is approved.,phishing
picoCTF Account Deleted,legit
Matching with the right headhunter for your career goals,legit
PROTECT YOUR HOME WITH A NEW METAL ROOF - ZERO DOWN!-τασ MDN,phishing
Re:[## 120716 ##] Other,phishing
FedEx Service Alerts: National Service Disruption,legit
"Your Quarterly Car Snapshot: Insurance Costs, Value & More",legit
ARE YOU covered ❓,phishing
Updates to our User Privacy Notice 2025,legit
We’re updating our Privacy Notice,legit
Check 2025.03.04-17.04.45 revised auto 2025.03.04-17.04.45 insurance 2025.03.04-17.04.45 rates and 2025.03.04-17.04.45 find big savings,phishing
Join Her Live – She’s Ready to Heat Up Your Screen,phishing
Thank you for your Message!,phishing
[Atlas Energy] Login Details,phishing
Reset your finances,legit
Jobs at CampusPoint,legit
Подтвердите регистрацию на сайте stroyprofil.ru,phishing
Your balance: 1.3426 BTC,phishing
Festo LX Email Verification,phishing
"Item shared with you: ""GLn3HWOFBLbXne.jpg""
",phishing
[Porady Microsoft Word - szkolenie word] Twoja nazwa użytkownika i hasło,phishing
Undelivered Mail Returned to Sender,phishing
Hello,phishing
Action Needed: Transition to Self-Custody,legit
Kontaktní formulář,phishing
Account Details for I give you money vigraprizi.blogspot.com bnQB at Merit Agente de Seguros y de Fianzas,phishing
Регистрация на сайте http://metagroup.com.ua,phishing
KelleyFerro.com News Letter: Please Confirm Subscription,legit
Undelivered Mail Returned to Sender,phishing
"お問合せありがとうございます。 ""[your-subject]""",phishing
Enquiry submitted through Contact Us form,phishing
Potwierdź swoją rejestrację,phishing
Escuela Nacional de Caricatura - Su registro requiere confirmación.,phishing
Russel Metals Form Submission,phishing
A Credit Card offer is here.,legit
Love the smell of Gain 😌 and 20% savings? 🤑,phishing
Supporting Digital Equity Through Device Access,legit
The Role of Silence Literacy in Modern Learning Environments,legit
